Accession,Title,Reference_Decision,Rule_Decision,Rule_Reason,AI_Decision,AI_Confidence,AI_Primary_Subject,AI_Reason,AI_Evidence,AI_Repeat_Decisions,Hybrid_Decision
GSE155837,Gene expression profiling of Dermal Papilla cells isolated from wild type (WT) and Fgfr1/Fgfr2 double mutant mice during anagen (at P14 and P16) was performed by RNA-seq analysis,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Dermal papilla cells during anagen hair follicle development,"The study directly assays dermal papilla cells, a central hair follicle compartment, to investigate gene expression changes during anagen, making it highly relevant to hair biology.",Title specifies Dermal Papilla cells isolated from mice during anagen || Summary states DP transcriptome is altered in Fgfr1/Fgfr2 double mutant || Overall design includes wt and mutant DP samples at P14 and P16,include || include,include
GSE131600,Single-cell ATAC-Seq of cells recruited to regenerative portions of large skin wounds.,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.95,Wound-induced hair follicle neogenesis,"The study's central question is the epigenetic regulation of wound-induced hair follicle neogenesis, making hair follicle biology a primary subject.","Summary states: 'large skin injuries exhibit de novo formation of hair follicles (HFs, a phenomenon termed wound-induced HF neogenesis)' || Study aims to identify epigenetic changes in fibroblasts transitioning to induce new HFs || Directly assays cells from the center of large wounds where HF neogenesis occurs",include || include,review
GSE108677,Single-cell transcriptomics of Hic1 lineage cells recruited during regenerative and scar-forming skin wound healing.,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.95,Hic1 lineage cells in wound-induced hair follicle neogenesis,"The study's primary biological question is the cellular origin and transcriptomic profile of mesenchymal cells that contribute to de novo hair follicle formation during wound healing, making hair follicle biology a central endpoint.","Title mentions single-cell transcriptomics of Hic1 lineage cells during regenerative skin wound healing, which is directly linked to hair follicle neogenesis. || Summary explicitly states the study investigates wound-induced hair follicle neogenesis (WIHN) and the contribution of Hic1-lineage cells to de novo hair follicle formation. || Overall design describes isolation of Hic1tdTomato+ve cells from wounds with regenerative (hair follicle-forming) and scar-forming regions, with the goal of understanding cellular mechanisms of hair follicle regeneration.",include || include,review
GSE130240,Sympathetic nerves and arrector pili muscles form a dual component niche to regulate hair follicle stem cells,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cell regulation by sympathetic nerves and arrector pili muscle niche,"The study directly assays hair follicle stem cells and investigates their regulation, making it central to hair follicle biology.","Title explicitly states regulation of hair follicle stem cells || Summary describes hair follicle stem cell (HFSC) activity, quiescence, and regeneration || Overall design isolates hair follicle stem cells (CD34+, a6+, Sca1-) for RNA-seq || Study focuses on hair follicle biology and niche interactions",include || include,include
GSE152537,Transcriptomic profiling in NTAPP-exposed human dermal papilla cells.,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Human dermal papilla cells treated with NTAPP,"The study directly assays human dermal papilla cells, which are a core hair follicle cell type, and investigates transcriptomic changes relevant to hair biology.",Title: Transcriptomic profiling in NTAPP-exposed human dermal papilla cells. || Summary: performed bulk RNA sequencing on NTAPP-treated human dermal papilla (hDP) cells. || Overall_Design: Total RNAs were directly purified and isolated from NTAPP-treated hDP cells or non-treated hDP cells.,include || include,include
GSE132383,Validation of small molecule activators and identification of altered signaling pathways underlying the age-related decline in proliferative capacity in human dermal progenitors,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.95,Age-related decline in human hair follicle dermal progenitor cells,"The study directly assays hair follicle dermal progenitor cells (hDPCs) to investigate age-related functional decline, making hair follicle biology the primary subject.",Title mentions 'dermal progenitors' and 'age-related decline in proliferative capacity' || Summary states 'Intrinsic dysfunction of hair follicle dermal progenitors' and 'functional decline in aged hDPCs' || Overall design specifies 'Dermal progenitor cells were isolated from adult human dermis' and comparison between aged and young donors,include || include,review
GSE115424,Dysfunction of hair follicle mesenchymal progenitors contributes to age related hair loss,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle mesenchymal progenitors and age-related hair loss,"The study's primary biological subject is hair follicle mesenchymal progenitors, and the central question is their dysfunction in age-related hair loss, directly meeting inclusion criteria.","Title explicitly states 'Dysfunction of hair follicle mesenchymal progenitors contributes to age related hair loss' || Summary describes characterization of hair follicle dermal stem cells (hfDSCs) and their role in hair follicle regeneration and age-related dysfunction || Overall design enriches for mesenchymal cells within the hair follicle, using FACS to isolate YFP+ and Cd26+ populations from hair follicle dermal stem cell lineage || Study directly assays hair follicle mesenchymal cells via scRNA-seq to investigate age-related transcriptional changes driving hair loss",include || include,include
GSE135146,NFI Transcription Factors Govern Stem Cell Chromatin Accessibility and Guard Against Irreversible Hair Loss,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle stem cells and hair loss,"The title indicates a primary focus on hair follicle stem cells and hair loss, which directly aligns with hair biology and alopecia research.","Title explicitly mentions 'Stem Cell Chromatin Accessibility' and 'Irreversible Hair Loss' || Organism is Mus musculus, commonly used in hair biology research || The study is a SuperSeries likely containing experiments on hair follicle stem cells",include || include,include
GSE135143,NFI Transcription Factors Govern Stem Cell Chromatin Accessibility and Guard Against Irreversible Hair Loss [scRNA-seq],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle stem cell chromatin accessibility and transcription factor regulation,"The study directly assays hair follicle stem cells and investigates hair loss mechanisms, making it central to hair biology.",Title explicitly states 'Stem Cell Chromatin Accessibility and Guard Against Irreversible Hair Loss' || Summary describes using hair follicles as model and studying hair follicle stem cells (HFSCs) || Overall design indicates purification of mouse hair follicle stem cells for scRNA-seq || Study investigates mechanisms of hair loss resembling irreversible alopecia,include || include,include
GSE135142,NFI Transcription Factors Govern Stem Cell Chromatin Accessibility and Guard Against Irreversible Hair Loss [bulk RNA-seq],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle stem cell chromatin accessibility and alopecia,"The study directly assays hair follicle stem cells and investigates mechanisms of hair loss and alopecia, making it central to hair biology.","Title explicitly states 'Stem Cell Chromatin Accessibility and Guard Against Irreversible Hair Loss' || Summary describes using hair follicles as model, studying stem cell depletion and hair loss resembling irreversible alopecia || Overall design specifies purification of mouse hair follicle stem cells for RNA-seq",include || include,include
GSE129218,Single-cell RNA-sequencing of full thickness mouse skin during anagen and telogen,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Mouse skin cellular heterogeneity across hair cycle stages,"The study directly assays full-thickness skin at defined hair cycle stages to investigate cellular heterogeneity related to hair growth, making hair follicle biology a central subject.","Title explicitly mentions anagen and telogen hair cycle stages || Summary states goal to compare cellular composition during rest (telogen) and hair growth (anagen) || Samples are full-thickness skin from anagen (5w) and telogen (9w) mice, directly capturing hair follicle cells",include || include,include
GSE130976,A stem cell-driven lymphoangiogenic switch,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cell niche and hair regeneration,"The study investigates hair follicle stem cell niche interactions and their role in hair regeneration, making it directly relevant to hair biology.","Summary states lymphatics form networks around hair follicle stem cells and are essential for coordinating HFSC behavior and hair regeneration. || Overall design uses mouse back skin at first telogen, a hair cycle stage, to isolate endothelial cells for RNA-seq, directly addressing hair follicle biology.",include || include,include
GSE130850,A stem cell-driven lymphoangiogenic switch (scRNA-seq),include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cell niche and lymphatic interactions during hair regeneration,"The study directly examines hair follicle stem cell niche interactions and their role in hair regeneration, using scRNA-seq on lymphatic endothelial cells from hair cycle stages.","Title mentions stem cell-driven lymphoangiogenic switch, with scRNA-seq on lymphatic endothelial cells || Summary states lymphatics form networks around hair follicle stem cells and remodel upon regeneration || Study investigates how hair follicle stem cells control lymphatic behavior and how this affects hair regeneration || Overall design specifies FACS-purified mouse lymphatic endothelial cells at telogen and early anagen, key hair cycle stages",include || include,include
GSE123913,A stem cell-driven lymphoangiogenic switch coordinates tissue regeneration,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cells and their role in coordinating hair regeneration via lymphatic niche interactions,"The study directly assays hair follicle stem cells across the hair cycle to investigate their role in hair regeneration, making hair biology the primary subject.","Title mentions 'stem cell-driven lymphoangiogenic switch coordinates tissue regeneration' and summary explicitly states 'lymphatic capillaries as critical SC niche components' in skin, forming networks around hair follicle SCs. || Summary states 'SCs of each hair follicle (HF)' and 'HFSC behavior and hair regeneration' are central, with experiments depleting lymphatics or silencing Angptl7 affecting HF regeneration. || Overall design specifies 'Mouse hair follicle stem cells were purified... along the hair cycle' and analyzed by RNA-seq.",include || include,include
GSE109256,"Gene expression profiling of adult hair follicle dermal stem cells and progeny, dermal sheath and dermal papilla cells",include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,1.0,Hair follicle dermal stem cells and progeny,The study directly assays hair follicle cell populations central to hair biology and regeneration.,"Title explicitly states profiling of adult hair follicle dermal stem cells, dermal sheath, and dermal papilla cells || Summary describes isolation of hair follicle dermal stem cells and their role in hair follicle regeneration || Overall design focuses on hair follicle mesenchymal cells during regeneration initiation",include || include,include
GSE136996,Dermal sheath contraction powers stem cell niche relocation during hair cycle regression,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Dermal sheath contraction during hair follicle regression,"The study directly assays hair follicle compartments (dermal sheath, dermal papilla) to investigate a central hair biology mechanism.","Title explicitly mentions dermal sheath and hair cycle regression || Summary describes hair follicle regression and niche relocation to stem cells || Overall design includes FACS-sorted dermal sheath, dermal papilla, and dermal fibroblasts from mouse skin",include || include,include
GSE124901,Functional stem cell aging dictated by skin tissue microenvironment,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cell aging and niche interactions,"The study directly assays hair follicle stem cells and investigates their aging, niche interactions, and regenerative capacity, making hair biology the primary subject.","Title mentions stem cell aging in skin tissue microenvironment, but summary explicitly focuses on hair follicle stem cells (HFSCs). || Summary states: 'In aged skin, hairs are sparse, which has led to the hypothesis that the hair follicle stem cells (HFSCs) undergo epidermal differentiation during aging. Here, we employ single cell analysis to interrogate aging-related changes in the HFSCs.' || Overall design: 'Young and aged murine hair follicle stem cells... were purified and assayed...' || Study investigates hair follicle regeneration defects and niche support, central to hair biology.",include || include,include
GSE119376,Adverse Events of anti-EGFR Therapy are Triggered by Hair Eruption and Commensal Skin Microbiota,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle barrier function and microbiota during hair eruption,"The study directly investigates hair follicle biology, specifically the role of EGFR/ERK signaling in maintaining barrier integrity during hair eruption, making hair follicles a primary biological subject.",Title mentions 'Hair Eruption' as a trigger for adverse events || Summary states 'opening of the follicular ostia during hair eruption allows invasion of commensal microbiota' || Summary describes 'gatekeeper function of the EGFR/ERK cascade in hair follicles securing the epidermal barrier around the erupting hair shaft' || Study investigates hair follicle biology in the context of EGFR deficiency and barrier disruption,include || include,include
GSE129611,Defining transcriptional signatures of human hair follicle cell states,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,1.0,Human hair follicle cell states,"The study directly assays human hair follicles to define their transcriptional cell states, making it a primary hair biology dataset.",Title explicitly states 'Defining transcriptional signatures of human hair follicle cell states' || Summary indicates 'Single Cell RNA sequencing of human hair follicles' || Overall design describes isolation of human hair follicles from scalp and single-cell analysis,include || include,include
GSE119762,Hair follicle stem cells (HF-SCs) can initiate psoriasis-like disease in mice,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cells in psoriasis-like disease initiation,"Hair follicle stem cells are a primary biological subject and directly assayed sample, with the study investigating their molecular mechanisms in disease initiation.",Title explicitly states 'Hair follicle stem cells (HF-SCs) can initiate psoriasis-like disease' || Summary describes lineage-tracing of HF-SCs and their role in initiating epidermal hyperplasia and inflammation || Overall design includes sorted mutant and non-mutant hair follicle stem cells as distinct experimental groups,include || include,include
GSE128436,EGFR and hair shaft differentiation,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,EGFR signaling in hair follicle stem cells and hair shaft differentiation,"The study directly investigates hair follicle biology, including hair shaft differentiation and hair follicle stem cells, making it highly relevant to a hair follicle omics collection.","Title explicitly mentions hair shaft differentiation || Summary states study of EGFR-deficiency in adult HFSCs (hair follicle stem cells) || Summary describes effects on outer root sheath and differentiated hair shaft keratinocytes || Summary notes disorganization of medulla cells, a hair-specific structure",include || include,include
GSE130054,Priming mobilization of hair follicle stem cells triggers permanent loss of regeneration after alkylating chemotherapy,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cell response to alkylating chemotherapy,"The study directly assays hair follicle stem cells and investigates their role in regeneration loss, making hair biology the central subject.",Title mentions hair follicle stem cells and permanent loss of regeneration || Summary states the study uses cycling human hair follicles and focuses on hair follicle stem cells (HFSCs) || Overall design specifies RNA-seq of human hair follicle stem cells after alkylating chemotherapy,include || include,include
GSE117967,Loss of PRC1 activity in different stem cell compartments activates a common transcriptional program with cell-type dependent outcome,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,PRC1 role in LGR5+ hair follicle stem cells during hair regeneration,"The study directly assays hair follicle stem cells and investigates their role in hair regeneration, making hair biology a primary subject.","Title mentions stem cell compartments, but summary specifies LGR5+ hair follicle stem cells || Summary states: 'investigated its role in LGR5+ hair follicle stem cells during physiological regeneration' || Summary states: 'PRC1 depletion in LGR5+ cells severely affects hair regeneration' || Overall design includes HFSC-RingKO and HFSC-WT RNA-seq (HFSC = hair follicle stem cells)",include || include,include
GSE115649,Gene expression profiling of Dermal Papilla (DP) cells isolated from wild type (WT) and DP-specific Smo gain-of-function (Smo*) mutant mice during both telogen (at P20) and anagen (at P28).,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Dermal papilla cells and hair cycle regulation,"The study directly assays dermal papilla cells, a core hair follicle compartment, and investigates hair cycle stage transitions, making it central to hair biology.",Title specifies Dermal Papilla (DP) cells isolated from mice || Study compares telogen (P20) and anagen (P28) hair cycle stages || DP-specific Smo gain-of-function mutant directly targets hair follicle biology,include || include,include
GSE132129,Low-dose quercetin positively regulates mouse healthspan,exclude,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,0.9,geroprotective effects of quercetin on healthspan,Hair loss is mentioned as a secondary phenotype in a broader aging study; the omics experiment does not directly assay hair follicle tissue or address hair biology as a primary question.,"Summary states 'less hair loss' as one of several healthspan improvements, but the study's primary focus is geroprotection and cellular senescence across multiple tissues. || Overall design is transcriptome analysis of three tissues (not specified as hair follicle) upon quercetin treatment, with no indication that hair follicle biology is a central endpoint.",exclude || exclude,exclude
GSE108709,Hair growth is induced by blockade of macrophage-derived oncostatin M and JAK-STAT5 signaling in hair follicle stem cells.,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cell quiescence and hair cycle regulation by macrophage-derived OSM,"The study directly investigates hair follicle stem cell quiescence and hair cycle regulation, with scRNA-seq designed to identify the cellular source of a key signaling molecule in telogen.","Title explicitly states hair growth induction and hair follicle stem cells || Summary describes OSM maintaining quiescence of hair follicle stem cells and regulating hair cycle telogen || Single-cell RNA sequencing identifies TREM2+ macrophages as OSM source during telogen || Inhibition of macrophages induces anagen, directly linking immune cells to hair cycle",include || include,include
GSE127971,Expression analysis of Lgr5 hair follicle stem cells following skin injury in the presence and absence of regulatory T cells,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Lgr5 hair follicle stem cells,The study directly assays hair follicle stem cells (Lgr5+) as the primary biological subject.,Title explicitly states 'Lgr5 hair follicle stem cells' || Summary states goal is to identify transcripts in Lgr5 hair follicle stem cells following skin injury || Overall design describes isolation of Lgr5-traced cells from epidermis,include || include,include
GSE111061,"An Open-Label Pilot Study to Evaluate the Efficacy of Tofacitinib in Moderate to Severe Patch Type Alopecia Areata, Totalis and Universalis",include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Alopecia areata treatment response,"The study directly investigates alopecia areata, a hair-loss disorder, using scalp biopsies to assess treatment response.",Title indicates study of tofacitinib in alopecia areata || Summary states gene expression profiling on scalp biopsies of alopecia areata patients || Overall design includes scalp biopsies from alopecia areata patients and controls,include || include,include
GSE125733,Transcriptomic analysis of frontal fibrosing alopecia,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,1.0,frontal fibrosing alopecia,"The study directly investigates frontal fibrosing alopecia, a primary hair-loss disorder, using scalp skin transcriptomics.",Title: Transcriptomic analysis of frontal fibrosing alopecia || Summary: transcriptome profiling of scalp skin from cases of frontal fibrosing alopecia and matched controls || Overall_Design: objective to identify differentially expressed genes in frontal fibrosing alopecia,include || include,include
GSE102463,Dynamic networks of lymphatic vessels interconnect nodes of neighboring hair follicles across the skin,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Dermal lymphatic remodeling and signaling in relation to hair follicle cycle,The study directly investigates hair follicle biology by profiling dermal lymphatics at specific hair cycle stages to uncover signaling networks relevant to hair follicle stem cell niche and cycling.,"Title explicitly mentions hair follicles and their neighboring lymphatic vessels || Summary states lymphatics connect hair follicles and localize near Hair Follicle Stem Cells || RNA-seq performed on isolated dermal lymphatics at two hair cycle time points (P55 mid telogen, P70 late telogen) || Study aims to understand dynamic signaling networks associated with lymphatic remodeling, immune trafficking, and HF signaling",include || include,include
GSE106767,Hair follicle stem cells sense niche integrity and recruit immune cells to contain barrier breaches,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle stem cells and their niche integrity,"The study directly assays hair follicle stem cells and investigates their role in niche barrier function, making it central to hair follicle biology.",Title explicitly states 'Hair follicle stem cells sense niche integrity' || Summary describes HFSCs as primary biological subject and directly assayed samples || Overall design specifies FACS-purified cells from the HFSC bulge niche,include || include,include
GSE121112,Reprogramming of dermal papilla cell intact gene signature with 3D culture and Lef-1 overexpression,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,dermal papilla cells,"The study directly assays dermal papilla cells, a key hair follicle component, to investigate gene signature reprogramming relevant to hair biology.",Title mentions dermal papilla cell intact gene signature || Summary states reprogramming of dermal papilla cell gene signature || Overall design uses freshly isolated dermal papilla cells as reference || All conditions involve dermal papilla cells cultured in 2D or 3D with Lef-1 overexpression,include || include,include
GSE102086,Single Cell and Open Chromatin Analysis Reveals Molecular Origin of Epidermal Cells of the Skin,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,Epidermal cell fate specification including hair follicle appendages,"The study directly investigates the developmental origin of hair follicles as skin appendages, with dermal condensate formation being a key hair follicle biology process.","Title mentions 'Skin' and 'Epidermal Cells', but summary explicitly states 'Skin and its appendages such as hair follicle and sweat gland are formed by Keratin-5 expressing (Krt5+) epidermal cells' || Summary discusses 'dermal condensate' which is a precursor to hair follicle dermal papilla || Study investigates molecular cascades during fate specification of epidermal cells that give rise to hair follicles || Overall design uses single-cell RNA-seq on early epidermis from control and P63KO mice, which likely captures hair follicle progenitor populations",include || include,review
GSE97213,Single Cell and Open Chromatin Analysis Reveals Molecular Origin of Epidermal Cells of the Skin,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,Epidermal cell fate specification and hair follicle development,"The study directly investigates the molecular origin of epidermal cells that form hair follicles, including dermal condensate formation, making it relevant to hair follicle biology.","Title mentions 'Skin' and 'Epidermal Cells', but summary explicitly states 'Skin and its appendages such as hair follicle and sweat gland are formed by Keratin-5 expressing (Krt5+) epidermal cells' || Summary discusses 'priming the underlying dermal cells to form dermal condensate', which is a key structure in hair follicle development || Study investigates molecular cascades during fate specification of epidermal cells that give rise to hair follicles || Overall design includes RNA-seq and ATAC-seq on early epidermis from Ctrl and P63KO mice, relevant to hair follicle biology",include || include,review
GSE112671,"Single cell RNA-seq analysis in dermis of SM22rtTA; tetO-Cre; R26-Tomato (SM22-Tomato, control) and SM22rtTA; tetO-Cre; R26-SmoM2/Tomato (SM22-SmoM2/Tomato, forced Hh activation in wound dermis) at 3 days after complete reepithelialization",include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.95,Hair follicle neogenesis in wounded skin via dermal Hedgehog activation,"The study directly investigates hair follicle neogenesis as a primary endpoint, with scRNA-seq profiling of dermal cells under conditions that induce new hair follicle formation.",Title states 'forced Hh activation in wound dermis' and 'hair follicle neogenesis' || Summary: 'dermal Hh activation is sufficient to induce hair follicle neogenesis in wounded skin' || Overall design: scRNA-seq of dermis after wound reepithelialization with Hh activation,include || include,review
GSE94893,"RNA-seq analysis in dermis and epidermis of WT (control), LSL-Shh (Shh overexpression in epidermis), and E14.5d skin",include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.95,Hair follicle neogenesis induced by Shh overexpression in epidermis,"The study directly investigates hair follicle neogenesis, a central hair biology process, using RNA-seq on relevant skin compartments.","Title mentions Shh overexpression in epidermis and E14.5d skin, a developmental stage relevant to hair follicle formation. || Summary states Shh overexpression induces hair follicle neogenesis in wounded skin. || Overall design includes dermis and epidermis from WT, LSL-Shh, and E14.5d skin, directly assaying tissues involved in hair follicle development.",include || include,review
GSE119118,Gene expression profile in mouse back skin after cyclophosphamide treatment,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Chemotherapy-induced alopecia in mouse back skin,"The study directly investigates chemotherapy-induced alopecia using a mouse model, with samples taken from back skin during induced anagen, making hair follicle biology the central subject.","Title: Gene expression profile in mouse back skin after cyclophosphamide treatment || Summary: Chemotherapy-induced hair loss (alopecia; CIA) is a highly distressing adverse effect... We analysis the changes of mRNA profiles at different time points after cyclophosphamide treatment using Next-generation Sequencing in a mouse model of CIA. || Overall Design: Active hair growth (anagen) was induced in the back skin by wax-depilation... Cyclophosphamide... injected at day 9 post-depilation... Mouse back skin samples were taken before (T0) or at 6hr, 12hr, 24hr, and 48hr after CYP treatment.",include || include,include
GSE116815,Generation of trichogenic adipose-derived stem cells by expression of three factors,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Trichogenic adipose-derived stem cells for hair regeneration,"The study directly investigates hair follicle regeneration using engineered stem cells, with hair biology as the central endpoint.",Title: Generation of trichogenic adipose-derived stem cells by expression of three factors || Summary: tfASCs have similar characteristics as dermal papilla cells and enhanced hair-regenerative potential || Summary: tfASCs can make new hair follicles in a hair reconstitution assay || Summary: The study aims to enhance hair inductivity of ASCs for hair regeneration,include || include,include
GSE110459,Identification of transcriptional targets of FGF20.,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.95,FGF20 transcriptional targets in embryonic dermis during hair follicle dermal condensate development,The study directly investigates molecular mechanisms of hair follicle development by profiling FGF20 targets in embryonic dermis at a stage crucial for dermal condensate formation.,"Fgf20 is expressed from the hair follicle placode and is required for development of the dermal condensate || RNAseq to identify immediate transcriptional targets of FGF20 in Fgf20-/- dermis at E13.5, a timepoint immediately prior to dermal condensate initiation || Dermal condensate is a critical hair follicle structure",include || include,review
GSE93833,"Basal hair follicle stem cell mRNA expression levels of mice at 3, 19 and 24 months of age",include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,hair follicle stem cells during aging,The study directly assays hair follicle stem cells as the primary biological subject to investigate aging-related gene expression changes.,Title explicitly states 'Basal hair follicle stem cell mRNA expression levels' || Summary mentions 'gene signatures on HFSCs (CD49f High/Cd34+) during normal chronological aging' || Overall design describes isolation of hair follicle stem cells from mouse skin using FACS,include || include,include
GSE102291,The microRNA-200 family mediates hair follicle development through coordinated regulation of cell adhesion and polarity,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle development and stem cell specification,"The study directly investigates hair follicle development using hair germ samples, making it central to hair biology.",Title mentions hair follicle development || Summary states 'microRNA-200 family governs hair morphogenesis and fine-tunes stem cell specification' || Overall design includes hair germ (HG) as a profiled sample,include || include,include
GSE104022,Molecular consequences of Dlx3 deletion by tamoxifen inducible K14 Cre in adult mouse epidermis (P42-P46) as determined by RNASeq analysis,exclude,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,Epidermal and hair follicle differentiation role of DLX3,"DLX3 is directly implicated in hair follicle differentiation, and the study examines molecular changes in skin compartments relevant to hair biology.",Summary states DLX3 is involved in epidermal and hair follicle differentiation || Study uses K14CreERT which targets basal keratinocytes including hair follicle stem cells || Transcriptome analysis of epidermis and dermis from skin with acute Dlx3 deletion,include || include,review
GSE100876,Temporal Layering of Signaling Effectors Drives Chromatin Remodeling during Hair Follicle Stem Cell Lineage Progression,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle stem cell lineage progression,"The study directly investigates hair follicle stem cells and their lineage progression, which is a core hair biology topic.",Title explicitly states 'Hair Follicle Stem Cell Lineage Progression' || Study focuses on chromatin remodeling during hair follicle stem cell differentiation,include || include,include
GSE100874,Temporal Layering of Signaling Effectors Drives Chromatin Remodeling during Hair Follicle Stem Cell Lineage Progression [RNA-seq],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cell lineage progression,The study directly assays hair follicle stem cells to investigate lineage progression during hair regeneration.,Title explicitly states 'Hair Follicle Stem Cell Lineage Progression' || Summary describes using hair follicles as a model for tissue regeneration and SC lineage choices || Overall design uses activated hair germ stem cells purified after hair depilation,include || include,include
GSE101451,"Transcripotome analysis of different locations of hair follicles (bulb, bulge) in androgenetic alopecia",include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle bulb and bulge transcriptomes in androgenetic alopecia,"The study directly assays hair follicle compartments (bulb, bulge) to investigate androgenetic alopecia, a primary hair-loss disorder.",Title explicitly states transcriptome analysis of hair follicle bulb and bulge in androgenetic alopecia || Summary describes profiling of different hair follicle locations in balding and non-balding areas of AGA patients and normal controls || Overall design details microdissection of hair follicles into bulb and bulge portions from AGA patients and controls,include || include,include
GSE85039,A multi-scale model for hair follicle reveals heterogeneous skin domains drive rapid spatiotemporal hair growth patterning,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle growth patterning across skin regions,"The study's primary focus is hair follicle growth patterning, using skin transcriptomes to investigate spatiotemporal regulation, which directly addresses hair biology.","Title explicitly states 'hair follicle reveals heterogeneous skin domains drive rapid spatiotemporal hair growth patterning' || Summary mentions transcriptomes of whole skin from different anatomic regions at post-natal time points, which is directly relevant to hair follicle biology || Study aims to understand hair growth patterning, a central hair biology question",include || include,include
GSE86962,Profiling of CD34+ hair follicle stem cells,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,CD34+ hair follicle stem cells,The study directly assays hair follicle stem cells as the primary biological subject.,Title: Profiling of CD34+ hair follicle stem cells || Summary: RNA isolated from CD49f+/CD34+/GFP- hair follicle stem cells || Overall design: Gene expression profiling of hair follicle stem cells,include || include,include
GSE76102,Transcriptional profiling of hair follicle stem cells in the presence and absence of Regulatory T-cells,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle stem cells and their regulation by regulatory T-cells during hair cycle,"The study directly assays hair follicle stem cells and investigates their role in hair follicle cycling, making it central to hair biology.",Title explicitly states 'Transcriptional profiling of hair follicle stem cells' || Summary describes purification of hair follicle stem cells (HFSCs) based on surface markers || Study goal is to understand Treg modulation of tissue stem cell behavior in the context of hair follicle cycling || Overall design specifies mRNA profiles of HFSCs isolated from mouse dorsal skin after depilation-induced anagen,include || include,include
